,,
,,
,,
Park,Season,Visitors
Death Valley NP,Spring,"14,001"
Death Valley NP,Spring,"13,508"
Death Valley NP,Spring,894
Death Valley NP,Spring,875
Death Valley NP,Spring,387
Grand Canyon NP,Spring,"25,079"
Grand Canyon NP,Spring,"28,763"
Grand Canyon NP,Spring,"31,924"
Grand Canyon NP,Spring,0
Grand Canyon NP,Spring,0
Grand Canyon NP,Spring,"14,000"
Grand Canyon NP,Spring,"134,239"
Grand Canyon NP,Spring,"145,007"
Grand Canyon NP,Spring,"151,687"
Grand Canyon NP,Spring,847
Grand Canyon NP,Spring,"2,661"
Grand Canyon NP,Spring,"2,953"
Grand Teton NP,Spring,"5,922"
Grand Teton NP,Spring,"9,602"
Grand Teton NP,Spring,"38,039"
Grand Teton NP,Spring,"84,039"
Grand Teton NP,Spring,"72,537"
Grand Teton NP,Spring,"134,078"
Grand Teton NP,Spring,"1,414"
Grand Teton NP,Spring,"1,447"
Grand Teton NP,Spring,"23,423"
Grand Teton NP,Spring,"6,320"
Grand Teton NP,Spring,"7,443"
Grand Teton NP,Spring,"36,595"
Grand Teton NP,Spring,"2,906"
Grand Teton NP,Spring,"1,917"
Grand Teton NP,Spring,"11,866"
Grand Teton NP,Spring,"11,280"
Grand Teton NP,Spring,"11,181"
Grand Teton NP,Spring,"24,151"
Great Smoky Mountains NP,Spring,952
Great Smoky Mountains NP,Spring,442
Great Smoky Mountains NP,Spring,486
Great Smoky Mountains NP,Spring,"274,151"
Great Smoky Mountains NP,Spring,"328,324"
Great Smoky Mountains NP,Spring,"254,589"
Great Smoky Mountains NP,Spring,"448,552"
Great Smoky Mountains NP,Spring,"373,167"
Great Smoky Mountains NP,Spring,"242,566"
Great Smoky Mountains NP,Spring,"14,273"
Great Smoky Mountains NP,Spring,"10,446"
Great Smoky Mountains NP,Spring,"11,186"
Great Smoky Mountains NP,Spring,0
Great Smoky Mountains NP,Spring,0
Great Smoky Mountains NP,Spring,"7,067"
